31	4.7	7	1502180
33	4.7	1	1512820
34	4.7	2	1536970
34	4.7	3	1559050
33	4.7	4	1592310
31	4.7	5	1545440
33	4.7	6	1575150
33	4.7	7	1527340
34	4.7	1	1524160
35	4.7	2	1568420
35	4.7	3	1570770
35	4.7	4	1590840
34	4.7	5	1574940
32	4.7	6	1560770
28	4.7	7	1473650
31	4.7	1	1494590
33	4.7	2	1536030
32	4.7	3	1543090
22	4.7	4	1476690
31	4.7	5	1514560
32	4.7	6	1516680
34	4.7	7	1519090
33	4.7	1	1528940
34	4.7	2	1556320
32	4.7	3	1571340
33	4.7	4	1554350
32	4.7	5	1537120
29	4.7	6	1539440
29	4.7	7	1523710
31	4.7	1	1559420
27	4.7	2	1529260
32	5	1	1523860
32	5	2	1570280
32	5	3	1551830
34	5	4	1587100
34	5	5	1613010
29	5	6	1544010
33	5	7	1555970
30	5	1	1551250
31	5	2	1575080
35	5	3	1599690
34	5	4	1615320
34	5	5	1630180
29	5	6	1587090
32	5	7	1556830
31	5	1	1542470
30	5	2	1558180
31	5	3	1586470
32	5	4	1589070
31	5	5	1572270
29	5	6	1572280
24	5	7	1471980
28	5	1	1543220
29	5	2	1549580
31	5	3	1582920
31	5	4	1566840
28	5	5	1558000
31	5	6	1572140
29	5	7	1535190
27	5	1	1540180
27	5	2	1555850
27	5	3	1568130
35	5.2	2	1604340
31	5.2	3	1597270
28	5.2	4	1634060
31	5.2	5	1623090
32	5.2	6	1639780
33	5.2	7	1603460
31	5.2	1	1588150
27	5.2	2	1587690
25	5.2	3	1551020
23	5.2	4	1527180
25	5.2	5	1563080
27	5.2	6	1574850
28	5.2	7	1538920
28	5.2	1	1541300
28	5.2	2	1585630
30	5.2	3	1598580
29	5.2	4	1590660
30	5.2	5	1602360
32	5.2	6	1603580
29	5.2	7	1579050
32	5.2	1	1582710
32	5.2	2	1639330
35	5.2	3	1695050
31	5.2	4	1641320
32	5.2	5	1656090
32	5.2	6	1658760
32	5.2	7	1653430
30	5.2	1	1635660
29	5.2	2	1637270
30	5.2	3	1607240
27	5.2	4	1572140
